Sex 0100               10 13 18.58 -01 34 50.1 18.04  1.16  230.4  0.5  0.35 0.01  0.37 0.03 0.999 1
Sex 0101               10 13  8.16 -01 44 50.1 18.35  1.36  198.8  1.7  0.26 0.02  0.87 0.04 0.000 1
Sex 0102               10 13 10.20 -01 42  7.2 18.80  1.09  231.3  1.6  0.38 0.02  0.51 0.06 0.989 1
Sex 0103               10 13  5.89 -01 44 51.5 18.45  1.14  221.9  0.6  0.39 0.02  0.40 0.04 0.999 1
Sex 0104               10 13  7.57 -01 41 13.0 19.34  0.95  222.1  1.5  0.37 0.03  0.33 0.07 1.000 1
Sex 0105               10 13  8.57 -01 39 12.7 19.04  0.80  230.3  4.6  0.30 0.03  0.29 0.08 1.000 1
Sex 0106               10 13  4.29 -01 34 58.8 18.44 99.00  223.8  0.9  0.35 0.02  0.40 0.04 1.000 1
Sex 0107               10 13  3.13 -01 35 39.0 19.40  0.97  221.4  1.7  0.39 0.03  0.35 0.07 1.000 1
Sex 0108               10 12 48.21 -01 42 23.5 19.44  0.85  200.2  0.7  0.41 0.03  0.86 0.04 0.000 1
Sex 0109               10 12 49.33 -01 42 17.9 18.70  1.05  216.0  0.8  0.32 0.02  0.34 0.03 0.999 1
Sex 0110               10 12 39.36 -01 36 13.3 19.79  0.95  230.2  0.7  0.41 0.02  0.29 0.05 0.999 1
Sex 0111               10 12 47.83 -01 36 10.3 19.07  1.04  225.7  0.7  0.33 0.03  0.38 0.07 1.000 1
Sex 0112               10 13 12.40 -01 42  8.3 18.20  1.16  242.8  0.7  0.37 0.01  0.30 0.06 0.995 1
Sex 0113               10 13  3.10 -01 42 14.1 18.45  1.06  224.8  1.2  0.37 0.02  0.27 0.06 1.000 1
Sex 0114               10 13 36.58 -01 33 17.6 20.33  0.74  -13.6 10.2  0.00 0.00  0.53 0.16 0.000 1
Sex 0115               10 13 16.72 -01 39 56.7 19.14  1.06  221.8  6.2  0.38 0.03  0.48 0.07 0.997 1
Sex 0116               10 13 18.76 -01 31 13.8 18.19  1.18  217.2  2.4  0.32 0.02  0.42 0.06 0.998 1
Sex 0117               10 13 22.90 -01 28 34.8 18.60  0.76  195.8  1.5  0.32 0.02  0.67 0.05 0.000 1
Sex 0118               10 13  2.06 -01 42 46.3 20.41  0.73  125.3  9.0  0.00 0.00  0.24 0.35 0.000 1
Sex 0119               10 13  4.92 -01 39 12.8 17.94  1.18  224.5  1.2  0.36 0.01  0.42 0.04 1.000 1
Sex 0120               10 13  1.37 -01 38 26.6 18.67  1.09  232.5  3.0  0.38 0.02  0.39 0.06 1.000 1
Sex 0121               10 13 58.30 -01 31  5.3 20.05  0.96  223.3  4.9  0.43 0.08 -0.02 0.23 0.996 1
Sex 0122               10 13 35.72 -01 31 44.9 19.86  0.78  221.4  5.5  0.31 0.05  0.24 0.11 0.998 1
Sex 0123               10 13 37.26 -01 32  4.5 19.55  0.93  222.8  2.0  0.41 0.06  0.59 0.12 0.974 1
Sex 0124               10 13 44.01 -01 32 17.3 20.26  0.81  218.7  1.5  0.39 0.04  0.24 0.11 0.998 1
Sex 0125               10 13 46.12 -01 29 43.6 18.87  0.95  222.1  0.8  0.32 0.03  0.38 0.06 0.999 1
Sex 0126               10 13 34.99 -01 29 50.0 19.82  0.98  226.5  4.3  0.35 0.05  0.21 0.13 0.998 1
Sex 0127               10 14 22.31 -01 30 22.7 18.96  1.02  215.6  3.4  0.34 0.05  0.40 0.12 0.980 1
Sex 0128               10 14 26.12 -01 29 12.6  0.00  0.00   23.7  2.6  0.40 0.03  0.81 0.06 0.000 0
Sex 0129               10 14 10.92 -01 21  4.8  0.00  0.00  223.5  2.0  0.42 0.04  0.36 0.09 0.994 0
Sex 0130               10 14  8.86 -01 21 50.9  0.00  0.00  223.7  1.9  0.29 0.03  0.34 0.07 0.995 0
Sex 0131               10 14  9.01 -01 22 55.4  0.00  0.00  289.0  4.2  0.29 0.05  0.64 0.08 0.000 0
Sex 0132               10 14  1.53 -01 34 10.8  0.00  0.00   17.3  4.9  0.43 0.14  0.52 0.20 0.000 0
Sex 0133               10 14  1.52 -01 31 44.0 19.46  1.01  232.4  4.5  0.56 0.11  0.16 0.27 0.991 1
Sex 0134               10 14  2.87 -01 28 19.0  0.00  0.00  232.7  1.6  0.31 0.04  0.57 0.07 0.715 0
Sex 0135               10 13 50.28 -01 28  1.1 18.31  1.08  139.9  1.0  0.36 0.02  0.89 0.02 0.000 1
Sex 0136               10 13 51.13 -01 25 19.9 19.16  0.97  225.6  3.6  0.37 0.03  0.33 0.07 0.997 1
Sex 0137               10 13 55.11 -01 17  3.8  0.00  0.00  218.2  0.4  0.43 0.01  0.42 0.02 0.989 0
Sex 0138               10 13 54.50 -01 24 56.3 19.78  1.00   97.1  1.1  0.41 0.06  1.07 0.07 0.000 1
Sex 0139               10 14  3.30 -01 17 44.0  0.00  0.00  -94.9  4.0  0.26 0.08  0.22 0.18 0.000 0
Sex 0140               10 14  4.67 -01 23 46.6 18.27  1.04  246.7  2.0  0.36 0.02  0.93 0.02 0.000 1
Sex 0141               10 14  6.88 -01 24 38.8 20.00  0.95  223.5  3.4  0.45 0.06  0.36 0.15 0.989 1
Sex 0142               10 13 47.67 -01 28 51.8 20.32 99.00  201.6  3.5  0.44 0.08  0.78 0.16 0.105 1
Sex 0143               10 13 48.39 -01 26 17.3 20.00  0.73  151.7  2.2  0.33 0.05  0.47 0.10 0.000 1
Sex 0144               10 13 42.65 -01 27 38.0 20.44  0.91  -18.5  3.5  0.39 0.06  0.20 0.16 0.000 1
Sex 0145               10 13 45.78 -01 26 44.8 19.57  0.92  220.0  1.1  0.34 0.04  0.42 0.09 0.995 1
Sex 0146               10 13 46.50 -01 25 50.3 18.65  1.09  219.8  1.0  0.40 0.03  0.31 0.06 0.998 1
Sex 0147               10 13 34.53 -01 19 11.4  0.00  0.00  228.2  2.2  0.37 0.03  0.38 0.06 0.994 0
Sex 0148               10 13 38.77 -01 20  0.0  0.00  0.00   34.6  0.6  0.38 0.01  0.92 0.02 0.000 0
Sex 0149               10 13 36.01 -01 20 42.7  0.00  0.00  220.5  0.6  0.34 0.01  0.34 0.03 0.997 0
Sex 0150               10 13 41.22 -01 20 52.6  0.00  0.00  212.8  2.1  0.25 0.02  0.30 0.05 0.990 0
Sex 0151               10 13 42.16 -01 24 39.2 19.91  0.95  227.2  0.9  0.38 0.02  0.31 0.06 0.998 1
Sex 0152               10 13 38.54 -01 24 51.4 20.37  0.92  225.5  2.3  0.39 0.04  0.20 0.10 0.997 1
Sex 0153               10 13 40.92 -01 26 22.4 19.52  0.97  145.4  1.8  0.27 0.05  0.98 0.04 0.000 1
Sex 0154               10 13 45.22 -01 20 22.4  0.00  0.00  -21.0  0.5  0.37 0.02  0.92 0.03 0.000 0
Sex 0155               10 13 44.19 -01 24 11.4 19.12  0.95  226.4  0.7  0.34 0.02  0.30 0.04 0.998 1
Sex 0156               10 13 36.29 -01 28 30.2 17.90  0.95   36.7  0.5  0.42 0.01  0.92 0.02 0.000 1
Sex 0157               10 13 33.53 -01 30 59.4 19.35  1.03  222.1  1.6  0.39 0.03  0.34 0.07 0.999 1
Sex 0158               10 13 31.56 -01 28 43.0 20.12  0.89  223.5  2.5  0.40 0.04  0.41 0.10 0.997 1
Sex 0159               10 13 29.52 -01 27 17.1 20.15 99.00  167.4  3.0  0.26 0.05  0.48 0.09 0.000 1
Sex 0160               10 13 22.95 -01 22 27.1  0.00  0.00  226.6  0.4  0.38 0.01  0.40 0.02 0.997 0
Sex 0161               10 13 28.56 -01 20 57.9  0.00  0.00  166.0  1.0  0.34 0.03  0.76 0.05 0.000 0
Sex 0162               10 13 32.39 -01 22 12.9  0.00  0.00   96.7  1.5  0.33 0.02  0.87 0.02 0.000 0
Sex 0163               10 13 21.74 -01 26 20.6 18.65  1.08  229.2  0.6  0.37 0.01  0.39 0.03 0.999 1
Sex 0164               10 12 29.46 -01 33 36.9  0.00  0.00   89.7  5.7  0.00 0.00  0.00 0.00 0.000 0
Sex 0165               10 13  6.88 -01 41 51.0 18.06  1.12  -48.0  1.0  0.36 0.02  0.90 0.02 0.000 1
Sex 0166               10 12 43.86 -01 42  3.0 19.85  0.79  226.4  2.0  0.30 0.03  0.33 0.06 0.999 1
Sex 0167               10 13  2.07 -01 44 36.3 20.18  0.67  226.1  1.1  0.29 0.04  0.60 0.07 0.899 1
Sex 0168               10 12 51.56 -01 37 55.3 20.35  0.74  225.4  2.6  0.30 0.03  0.23 0.07 1.000 1
Sex 0169               10 13  5.69 -01 40 46.7 20.01  0.80  266.1  1.5  0.33 0.03  0.95 0.04 0.000 1
Sex 0170               10 12 53.89 -01 45 27.1 18.96  1.02  229.2  0.9  0.34 0.02  0.41 0.05 0.999 1
Sex 0171               10 12 53.72 -01 45  2.9 19.76  0.95  228.2  1.3  0.44 0.05  0.59 0.13 0.986 1
Sex 0172               10 12 48.61 -01 36 56.5 18.68  1.11  227.3  0.5  0.39 0.02  0.42 0.05 0.999 1
Sex 0173               10 12 43.51 -01 43  6.6 18.81  1.05  220.8  0.9  0.36 0.02  0.38 0.04 0.999 1
Sex 0174               10 12 44.70 -01 42 48.9 18.93  1.17  233.4  3.0  0.28 0.04  0.00 0.09 0.986 1
Sex 0175               10 12 37.04 -01 45 26.9 18.52  1.27   22.5  2.1  0.40 0.02  0.77 0.05 0.000 1
Sex 0176               10 12 37.72 -01 44 15.0 19.81  0.98  226.1  2.5  0.30 0.03  0.30 0.07 0.999 1
Sex 0177               10 12 40.27 -01 41 46.1 18.74  0.77   66.8  0.4  0.36 0.02  0.74 0.03 0.000 1
Sex 0178               10 12 38.87 -01 41 45.0 19.20  1.00  228.2  1.7  0.32 0.03  0.34 0.07 0.999 1
Sex 0179               10 12 35.91 -01 41 15.2 18.66  1.14  219.1  0.8  0.41 0.02  0.40 0.04 0.999 1
